slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact
","We hope to have 150-250 attendees at each Cabaret, but we will be selecting sites that can definitely hold more if needed.  We believe the community history and healing aspects of the programming will draw attendees from in and outside of Sacramento, increasing the dollars spent at local sites and with local vendors.  We also see ourselves utilizing a number of local businesses to implement and promote the Cabarets, spreading grant dollars city-wide. Finally, long-term this project will allow CA to be a vital entity during a time of transition, helping to ensure Sacramento doesnt lose another vital cultural entity.","Celebration Arts began because African Americans in the Sacramento region had little access to existing performing arts programs in the community and in educational institutions.  And, if admitted those institutions, the performance offerings and opportunities were not prominent and most often restricted to historically demeaning roles.  For over, thirty years, CA has given and inspired pride within Sacramentos African American community, and it believes that there is power in sharing the stories and narratives of people of color.  The Street Corner Cabarets will take what CA has been doing throughout the City, connecting people, communities, and in-kind spirits through art. "

the-launchpad-a-placemaking-lab-in-old-north-sac,362,Tommy Young,Grant ($25k),Business,"E3 CA, Inc.",The LaunchPad: A PlaceMaking Lab in Old North Sac ,"Multipurpose Spaces, Underserved Communities, Temporary Activations, Pop-ups","$25,000.00 ","$115,350.00 ","The Launch Pad is a greenspace R&D lab for creative placemaking. It has a beer treehouse, a ZNE bicycle cafe and a speedboat playground. ","The Launch Pad of Old North Sacramento will activate a blighted vacant lot at 1400 Del Paso Blvd.  Our belief is that revitalization begins with stabilization and stabilization begins by establishing a beachhead  a safe zone that allows the community the opportunity to unite behind a shared vision, and a mission control center capable of supporting that vision through economic development.

The Launch Pad will create an adaptive, creative space for events, classes, and community gatherings. The space will consist of a large, retro-fitted industrial multi-use building; an expansive multi-level tree-house deck; and drought-tolerant greenspace.

The Launch Pads core functions are;
 a community gathering spot
 a research, design and testing lab for creative placemaking techniques
 a multipurpose, indoor/outdoor events center for community organizations

Amenities include;
 Multi-level tree-house made from reclaimed wood
 Mobile taproom built into a converted horse trailer and a manually-powered espresso cafe built onto a Dutch cargo bicycle
 Adventure playground made from upcycled boats
 Life-size foosball tables

Programming includes;
  Second Saturday mornings  a gallery for landscape and large outdoor art
 Pop-up makers market promoting the Made in Sacramento brand

The Launch Pad is divided into temporary placemaking modules with experiments meant to continuously evolve as artists and placemakers collaborate with different community sectors to realize their combined vision of what transforms a space into ""a place"". At the end of each experiment modules will return to the group that envisioned them.

The site is walking distance from two light rail stops and is located at a bus stop.  It will be professionally developed in accordance with the highest sustainability and zero net energy practices and feature secure bicycle parking to promote its transit oriented location.

Our name, The Launch Pad of Old North Sacramento is meant to symbolize the launching of new ideas and the quest to explore. It's also meant to be a starting point - this is where Del Paso Boulevard takes off.

The deliberate use of Old North Sacramento in our brand is an effort to reclaim the rightful name of our community as we are often mistaken as Del Paso Heights. In truth we are Old North Sacramento  a community of 3,564 living in 9 neighborhoods spread over 0.675 square miles.

The mission of The Launch Pad is to champion the Boulevard, develop an economic hub and proclaim ,  The North Will Rise Again!

",9/15/17,,Ultimately by community involvement and attendance rates. These will be reflected in our ability to transition from stabilization to revitalization. The participation and satisfaction rates of the public who interact with our placemaking installations or attend our events will be interviewed and their responses documented. We firmly believe that you can't improve what you don't measure. The Launch Pad will be deemed a success when people from 8 to 80 ask their ride sharing driver for us by name because the address isnt needed; everyone knows who and where we are.,"The Launch Pad: 2-6 FT jobs
Pop-Up #1: 1-2 FT jobs
Pop-Up #2: 1-2 FT jobs
The Lucky Duck Beer Treehouse: 1 FT, 2-6 PT jobs
Pedal Oso Cafe: 1 FT, 2-4 PT
Pop-Up Food #1TBD
Pop-Up Food #2 TBD

 As placemaking installations are rotated out they can be sold, auctioned or ""placed"" in communities where placemaking is needed but the community doesn't have the resources or vision to do the heavy lifting of starting from scratch. The proceeds could be split equitably between the builders and the group who envisioned it.


","The Launch Pad will reclaim a blighted corner of a forgotten community in Sacramento. The neighborhood is hungry for opportunity  opportunities to gather safely; overcome socio-economic and cultural differences; create art, science, and local business; for the opportunity to welcome others to share in the place we all love. With events, classes, business opportunities, and in the construction of the space itself  the opportunity for partnerships, services, and job creation abound. This project prioritizes individual and economic prosperity and seeks to engage youth, veterans, artists, seniors, and others who reflect the diversity of the Old North Sacramento Community."

wellspring-women-s-center-mural,370,Ann Erpino,Microgrant ($5k),Individual/Sole Proprietor,Ann Erpino Fine Art,Wellspring Women's Center Mural ,Public Art/Installations,"$5,000.00 ","$5,200.00 ","     Wellspring's guests will design and sketch a mural together,  paint it on panels, and install them on their building's north face. ","     Guests and affiliates of the Wellspring Women's Center in Oak Park will adapt a rough sketch provided by painter Ann Erpino into a personalized, group composition by adding and subtracting elements, changing colors, shapes,  or perspective  by finding a shared aesthetic. Participants will sketch their finished mural concept, and re-submit it for continued approval.                Wellspring artists will transfer the image onto weather-protected, light weight panels, which will be painted in acrylic, varnished, and installed on the exterior north wall at 3414 4th Avenue,
     The visual basis for the 'Wellspring Women's Center Mural' aligns with Wellsprings mission, and publicly promotes their decades-long contributions and unifying efforts among Oak Park residents. This project seeks to employ several of the Center's guests in the areas of art, artisanry, marketing, outreach, management, catering, teaching, and more, and to bring diverse individuals together, working toward a shared aesthetic and a common goal.
     Many hours of donated labor are anticipated for this project.  Several participants will earn wages for their labor, based upon request and contribution. For many, it will be their first opportunity to earn money doing something that they enjoy doing for themselves.
     Materials and services for outreach, preparations, production, installation, and opening reception will be locally sourced whenever possible, to produce archival quality artwork, effective outreach and promotional materials, safe working environments, and so on. The wall for the proposed mural is structurally protected from rain and sunlight, yet we will protect the art for more extreme conditions, as allowed by budget.
     When the completed paintings are documented and varnished, they will be installed in July, 2018, and then unveiled at an opening reception and event  at the Wellspring Women's Center. Presentations will include a toast to the  center's guests and project participants, talks by artists and promoters, and by SMAC representatives and city officials able to join us in celebrating the beautification of Oak Park.
     Donations already promised and collected for this mural include equipment, tools, transportation, technical and financial support, and more. Letters of financial and in-kind support will be provided upon request. If required by the  Sacramento Historical Society or the City of Sacramento, this proposal can be rewritten for painting the mural directly upon the wall, instead of as an installed mural on painted panels.
",9/8/17,7/25/18,"     When Wellspring Women's Center guests collaborate to create a pleasing, shared vision, then jointly transfer and paint their personalized mural onto large scale panels, then promote it, and enjoy the public's appreciation of it, our project will be a success. As Oak Park services and suppliers receive a share of our funding, participants are acknowledged and paid for their contributions, and District 5 residents benefit from the cultural effects and from reusable post-project utilitarian materials and equipment, the project will be a success. ","     The Wellspring Mural's direct economic impact is reflected in the budget; purchases and services will be sourced in District 5. Artists and contributors earning wages for their labor will be mostly underprivileged women, some in dire need of  employment. Donors outside of Sacramento will support District 5 economically while achieving the joy of patronage. They may travel to visit their pet mural.
      The indirect economic impact of this project will be ongoing, depending upon public interest, maintenance, the density of added attractions and services in the site's vicinity, and ongoing promotion of the mural, such as inclusion in mural tours. ","   This project creates a variety of collaboration opportunities for culturally under served women and children at Wellspring Women's Center. The mural is a collective visual expression, and a dramatic contribution to the neighborhood, to Oak Park, and Sacramento.
   All guests and associates of Wellspring with sufficient skills may participate in the project. Its success will impart confidence and a sense of belonging in artists, organizers, and assistants, and will allow guests to become an integral part of a complex creative project.
   Professionals, hobbyists, and entrepreneurs will develop skills and experience which may enhance their future projects."

reflect,388,Andy Colborn,Microgrant ($5k),Business,Rocket Dept,Reflect,"Public Art/Installations, Urban Tech, Temporary Activations, Cultural Equity","$4,906.00 ","$4,906.00 ","Reflect, a digital art experience connecting Sacramento and its citizens with windows into the communities around them. ","We will set up two digital windows in different areas of Sacramento.

Each window will be an LED display, approximately 3'x6' in size and have an Xbox Kinect sensor to capture the silhouette of the person or people in front of it.

A user would be able to walk up to the mirror and see their silhouette reflection in real-time alongside that of the person or people at the other window. They would be able to wave, high-five, dance with or otherwise interact and connect with people on a different side of the city.

The displays would be semi-portable so they could be moved from location to location in Sacramento allowing different communities to enjoy and interact with each other.

For clarity in the user's interaction, a person on one side of the window in say Oak Park would appear one color and someone on the other side in Natomas, for instance, would appear another (probably red and blue with purple to handle the overlap).

The installation would be playful and interactive and hopefully draw more traffic to businesses wherever it is set up.
",10/1/17,,"We would like to pull it off with as few technical issues as possible and see as many people in our community enjoy the installation.

The Xbox Kinect will also allow us to monitor foot traffic past the installation and even how long people spend interacting with it. We also hope to set up the Kinect during the weeks before and after we have the project installed to measure how many more people come to a location to see our project and if having the installation up had a more permanent impact in drawing people to the area.",We hope to set up our installation in and around local business to help draw people to new areas.,This installation will allow people to interact and play with each other across different parts of the city abstracted from race and class and ethnicity. 

diversecitysummit-videography,393,Mariah Lichtenstern,Microgrant ($5k),Business,DiverseCity Ventures ,#DiverseCitySummit - Videography,"Performing Arts/Music, Cultural Equity, Other (Innovation & Entrepreneurship)","$5,000.00 ","$5,000.00 ","Videography for inaugural #DiverseCitySummit: Fostering cultural equity through the intersections of arts, technology, and entrepreneurship.","A collaboration amongst DiverseCity Ventures, CYPHER International, Founder Institute, Rhodes Fest Concerts et al (""partners""), the #DiverseCitySummit will foster community engagement and cultural equity through intersections of the arts, technology, and entrepreneurship. The summit will be held the weekend of January 13 in Sacramento to showcase local entrepreneurs, educate underserved communities, and inspire youth participation in the innovation economy - with particular emphasis on leveraging technology, art, and entrepreneurship for social, environmental, and economic impact.

In addition to the Founder Showcase, the summit will feature speakers, a ""Climate Music"" concert, workshops, Culture Shift Labs, Art exhibitions, childrens activities,  job / internship-fair, and local vendors. The event will be held at an underutilized / vacant venue capable of serving as an economic hub. Potential venues could be Town & Country Plaza, Florin Mall, the Greater Sacramento Urban League, University of the Pacific, or comparable venue.

DiverseCity Ventures will engage local filmmakers to capture the event for ongoing marketing / publicity campaigns (via Facebook, Twitter, LinkedIn, Instagram, and other emerging and traditional media) after the summit. The resulting materials will help drive awareness of Sacramentos burgeoning innovation economy, encouraging viewers to to visit, patronize, and invest in Sacramento.",1/13/18,1/29/18,"Goals:
1. Engage 200 attendees registered for workshops, concert, and ancillary activities (more if higher profile celebrity speakers / performers participate).
2.        Create broader awareness of the Sacramento arts and innovation community through social media engagement ( 20K impressions).
3.        Launch and showcase  5 technology enabled companies in the Sacramento region
4.        Engage 5 artists to apply technology to facilitate e-commerce / digital marketing of their creative arts
5.        Cultural and gender participation assessment reflective of the regions diversity
6.        Recruit 4 teams with preliminary CleanTech innovation application for Cypher CleanTech competition
","While empirical analysis of relationship between entrepreneurial firms and economic growth rates is inconclusive, the DiverseCity Summit partnership considers methods shown to support entrepreneurship to create short and long term economic impact:
1.        Launch companies that can potentially create thousands of jobs
2.        Impart innovative culture and risk tolerance through entrepreneurial training
3.        Increase revenue and earning capacity by an order of multitude, creating a stronger consumer base that can sustain emerging businesses, particularly discretionary purchases such as those created by artists and makers
4.        Reduce  barriers through education and access to capital for business formation and regulatory requirements
","By showcasing and applying innovative technology to the arts and cultural community, this project has the potential to uniquely address cultural equity and have the following social impact:
1.     Bring cultures and communities into proximity that are otherwise subject to de facto segregation.
2.     Cross pollinate awareness of the state of the art in tech, the creative economy, sustainability, and community engagement.
3.     Provide awareness and access to capital and entrepreneurial resources
"

arts-and-culture-events-at-the-red-museum,409,Jennifer Jackson,Microgrant ($5k),Individual/Sole Proprietor,The Red Museum,Arts and Culture Events at The Red Museum,"Performing Arts/Music, Multipurpose Spaces, Cultural Equity","$5,000.00 ","$40,000.00 ","A year-long series of 18 music, performance, art, and food events in a Mansion Flats warehouse/artist space known as The Red Museum.","The Red Museum is an old fruit-packing warehouse on the outskirts of Mansion Flats that has transformed into an epicenter of experimentation and raw arts culture. We provide affordable practice/studio space to local creatives and occasionally host highly-curated events that bring people of different ages, ethnicities, genders, economic backgrounds, and tastes together to experience new music, performance, food, and visual art for a reasonable entry price. We believe in the cultural value of providing exposure for emerging artists and we never want money to be a barrier between a good artist and a successful artist. We also want the public, no matter their demographic, to have access to this culture through our events. Currently, we face three limitations: a lack of funding, public event policy, and a typical building capacity of 50 people.

We would like to escalate our community activations by producing a series of 18 events (1-2 per month) from September 2017 through September 2018 aiming at an audience of 75-200 attendees. With this grant, we will promote and expand our message, which is aligned with the Citys creative economy focus of empowering individual creators, making Sacramento a platform for experimentation, and engaging City Hall to innovate its policies. These events will feature an average of 3 local and touring talents (music, performance, new media, etc.), pop-up food by local chefs, visual artists work, event photography, and grant-related data collection.

Additionally, we need support from the Citys agencies (Fire Dept., Entertainment, Zoning) to make 51-200 person events viable in our building, which Steve Hansens office has begun helping us with. In collaboration with the city, we want to explore new ways to rethink the event permitting system to make room for smaller, niche events in untraditional spaces that may not have the same budget or target audience as larger events. The city of Seattle recently published a guideline to policy that can help with this (see items 8, 14-16, and 22 at http://www.seattle.gov/Documents/Departments/Arts/Downloads/Space/CULTURAL%20SPACE%20REPORT.pdf ).

To supplement the citys investment, we are launching a crowd-funding campaign leading up to a fundraiser festival on August 26th with a goal of $7,500. We also collect rent from artist/musician members amounting to roughly $10,000 per year. We will also charge $8-10 per person for events to supplement artist stipends and expenses. On a final note, we are open to modifying our number of events if less grant money is available. ",9/15/17,9/15/18,"Success means that funding, policy change, thoughtful curation, marketing, and promotion allow us to consistently hit the 75-200 audience mark - proving that our message about the arts and the Citys desire to support creativity is being heard and appreciated by the community. Well keep data regarding attendance, amounts paid to performers/vendors, social media reach, and press coverage. Well also track the interest we receive in booking events because it gauges how far the message of Sacramento/The Red Museum is spreading around the world. This will culminate in a report that we will provide to the city in September 2018.","Nearly all of the funds spent on this project will go directly into the creative community through event talent stipends and rent supplementation for our warehouse, which gives artists/musicians studio space to continue to create. Additionally, each event will bring 75-200 people from the general public into Mansion Flats for the evening, where they will likely support local businesses (dinner, drinks, corner stores) and add activation to a neighborhood that suffers from high vagrancy and a lack of arts destinations or night life.","Our events are typically open to all ages and types of people and we specifically embrace programming by marginalized creators (economically challenged artists, LGBT, minority, avant-garde performance, and people under 21). These artists need places to perform and when given that opportunity, the audience reflects the diversity. See our past work sample for representation of our diverse events. Additionally, our neighborhood of Mansion Flats lacks night time activation and has high vagrancy. By adding more evening activation, we believe the neighborhood will be safer and more appealing - although this is difficult to prove through data collection."

kawm-book-launch-event,410,Stacey Lo,Microgrant ($5k),Individual/Sole Proprietor,Kawm,Kawm Book & Launch Event,"Marketing/Communications, Youth/Education, Cultural Equity","$5,000.00 ","$23,700.00 ",Kawm is a book that focuses on creativity and inspirations from the Hmong community. We plan to host a book kickoff event in August 2018.,"Back in August 2015, Kawm was an idea, a concept. Six months later, we published the first beta issue online and created a presence in the Hmong community. Kawm means to to learn in Hmong. The purpose of Kawm is to empower our readers to discover and be inspired while networking. We want to provide a space for our contributors and readers to learn about themselves, their culture, and the community. Our mission is to become a versatile resource while making a positive impact on youths.
Kawm is a print book and multimedia website that will showcase the creativity and inspirational stories coming from the Hmong community. There are four stages to how we plan to raise money for the team, contribution, promotion, buying inventories, and launching a kickoff event.
During the duration of this project, we plan to create a team to collect stories from the Hmong community to produce the first Kawm book. This project will be created by a small team and volunteers. The goal of this project is to raise money to help boost awareness and promote the importance of literacy, creativity, and community gatherings.
The first five months will be dedicated to developing and producing the book, promotions, and finding potential sponsors for the book and event. We will be looking for 30 to 40 contributors. We will also host a crowdfunding campaign and sell advertising spots for the book and website. We plan to offer donation and sponsorship packages, promote at California Hmong New Year Festivals, local stores, and create a Facebook Ad Campaign.
Next, we will spend four months advertising pre-order packages for the book. We plan to offer four types of pre-order limited edition deals. Then, three months before the kickoff event, we will sell tickets (early bird ticket and VIP ticket) online and at the door. We plan to open vendor opportunities for the public.
Finally, we plan to host a book kickoff event in August 2018 to celebrate the completion of the book and thank our sponsors and contributors. This will give us an opportunity to invite the public to meet influential figures in the Hmong community and our contributors, nog mov (eat) as a community, and enjoy a festive celebration. We would like to host a silent auction or sell raffle tickets to attendees. The money will go towards creating the second Kawm book. ",10/1/17,8/15/18,"We will measure our success by the quality of the content and the connection we create in the Hmong community. Our goal is to find 30 to 40 contributors, create a book in 5 months, promote a pre-order campaign for 4 months, launch a book kickoff promotion for 3 months, and host the kickoff event in August 2018. After the event, we will publish an evaluation survey to see how we did, strategically plan for the second book, and find a way to keep the flow of creativity and inspiration going in the Sacramento Hmong community. ","We hope Kawm will impact the Hmong community in the City of Sacramento economically by bring in more future investments for future projects either for Kawm or other organizations. We hope to raise more awareness for the need of literacy in the Hmong community and inspire youths to invest in their dreams and visions. Not only will we promote and sale our own products and services, we also want to provide more opportunities for local Hmong and creative businesses to promote their own products and services. ","There is a high number of disinterest in literacy or creativity in the Hmong community, and we hope the project can create more future opportunities to collaborate in the Hmong community. Kawm is a culture project, we believe culture is one of the most important factors of development. We plan to emphasize on creativity and literacy to inspire youths, and integrate the visions of community and local businesses. Our goal is to create a foundation for redefining a sense of place in the Sacramento area for the Hmong community and encourage revitalization by emphasizing on literacy, networking, and creativity values. "

oak-park-food-collective-micro-farms-big-impacts,425,Randy Stannard,Microgrant ($5k),Nonprofit,Oak Park Sol,"Oak Park Food Collective: Micro Farms, Big Impacts  ","Farm-to-Fork, Underserved Communities","$5,000.00 ","$5,000.00 ",Oak Park Food Collective creates a networked and supportive micro-farm business development community that inspires new home-based farms.,"This project will support the establishment of new micro-scale urban farms in the Oak Park neighborhood that produce $500-$5000 profit for part-time farmers in backyards and vacant lots.  The grant funds will support the establishment of Oak Park Food Collective (OPFC), a place-based farm support and training group, as well as the development of a micro-farm business operated by Oak Park Sol (OPS) at Broadway Sol Community Garden.

The expectation of creating a full living-wage income from farming is unrealistic for most people due to size constraints of urban lots, lack of farm experience and training and time limitations from pre-existing employment, school and/or family commitments. We want to jump start the Sacramento Farm-to-Fork economy by supporting the development of several profitable micro-scale farms that provide supplemental income, encourage entrepreneurship and create successful models that can be replicated throughout the city.

OPS will work with Sac Urban Ag Coalition other partners to host a series of 5 micro-farm business development classes, offered to all Sacramento residents, that will cover the following topics: business planning, product selection and Cottage Foods, irrigation and soil fertility, marketing/sales and finances and accounting. OPS will focus on recruiting neighborhood growers from Oak Park for OPFC and facilitate development of the collective.

OPS will utilize a 30' by 20' plot at Broadway Sol Community Garden (3733 Broadway), replicating a backyard space, to grow selected flowers and herbs that will be dried/dehydrated and sold directly to consumers (both as flowers/herbs and within value added products via Cottage Foods) through various direct marketing networks and possibly Oak Park Farmers Market.

We are developing the project with support of various Sacramento and Oak Park-based organizations and groups, including: Sacramento Urban Ag Coalition, Soil Born Farms, Yisrael Family Farm, Green Tech, Alchemist CDC, Center for Land Based Learning, Oak Park Neighborhood Association, South Oak Park Community Association and Oak Park Business Association.

Randy Stannard, Executive Director of OPS, has over 20 years of experience in agriculture, organic small farming and community development/organizing. Randy has lived and worked in Sacramento since 2005 and was the Food Access Coordinator for Soil Born Farms for 7 years, developing SBF's ""Edible City Initiative"" Harvest Sacramento (Note: work samples include projects from Soil Born Farms that were facilitated by Randy Stannard). Additionally, he has owned his home in Oak Park since 2010 and is a leader in neighborhood gardening and urban ag activities.",10/1/17,9/15/18,"Oak Park Food Collective (OPFC) will have an active on-line presence with a website/webpage and social media pages and at least 5 active farm members producing in Oak Park that have attended the training series, have an established DBA and verified sales.

Oak Park Sol will have a documented and shared micro-farm business development plan and verified farm profit of at least $1000 by the end of the grant period.

The five micro-farm business classes have a documented attendance of at least 10 per class and assessments from students will indicate an increased business intellegence and likelihood of micro-farm start-up.




","Oak Park Sol will develop a backyard scale ""micro-farm"" enterprise at Broadway Sol Community Garden will make $1000-3000 profit for the organization which will cycled back into our local economy in the form of residents and youth wages or stipends, ""veggie vouchers"" for Oak Park Farmers Market ($5 vouchers given to students that attend free cooking classes at the garden) and project materials purchased from local businesses (ex. Plant Foundry and Nursery). All $5000 grant funds will be spent in Sacramento.

4 additional backyard micro-farms by Oak Park residents will generate $5-25K in economic activity.

","This project will focus on the Oak Park neighborhood with an emphasis on the more underserved areas of central and south Oak Park.   The OPFC classes and network development will facilitate relationships through information and resource sharing. The tangible examples of small-scale home based businesses will be shared via social media and other public forums such as OPNA and SOPCA meetings, providing much needed inspiration for entrepreneurs. A multitude of neighborhood social connections will also be made through selling products. Increased financial literacy and basic business skills will have incredibly positive impact for family budgets as well. "

kaleidoscope-1,437,Daniel,Microgrant ($5k),Individual/Sole Proprietor,,Kaleidoscope (1 of 2),"Public Art/Installations, Cultural Equity, Underserved Communities, Youth/Education, Urban Tech","$4,997.00 ","$9,987.00 ",Kaleidoscope is a Butterfly sanctuary & sculpture garden at the future @PowerhouseScienceCenter site,"Kaleidoscope (taken from the collective term for a group of butterflies) is an urban riverfront butterfly sanctuary & sculpture garden. Once ecologically established, Kaleidoscope will join Santa Cruz's Natural Bridges State Park and Pacific Grove's Monarch Grove Sanctuary as a premier wildlife and eco-tourist destination. Moreover, with the countrys largest urban tree canopy, Sacramento has the potential to become the first city-wide butterfly sanctuary in the world.

Currently, Sacramento's Swallowtail butterfly numbers are meager in urban areas where they lack food, shelter and safe passage. Kaleidoscope ultimately aims to recreate the more vital butterfly habitat of Sacramento's waterways with butterfly sanctuary sculpture gardens throughout Sacramento and its underserved communities. The initial riverfront Kaleidoscope creates the necessary butterfly corridor into the city for successful long-term expansion.

While there are several great locations for the initial Kaleidoscope, the intersection of Sacramento River Intake Facility, Matsui Waterfront Park, and the forthcoming PowerHouseScienceCenter (PHSC) is the most civically compelling. Kaleidoscope aims to unify these different landscapes. In doing so it will create a more ecologically valuable and cohesive riverfront parkway experience that better connects OldTown, Discovery Park and future Railyards projects. As butterflies gain access to the city at its source of freshwater and Science Center, Sacramentans and tourists gain access to these monuments to innovation and an up-close kaleidoscopic view of the monumental phenomena of metamorphosis.

Currently in scarce supply, the native CA Pipevine is the only plant on which the Pipevine Swallowtail butterfly can lay its eggs and hatched caterpillars can feed. A single CA Pipevine can grow to cover a large area but is very vulnerable as a young plant. They require weekly deep watering and 1-2 years to get established enough to be drought tolerant & support a large caterpillar population. By pairing young sensitive plants with protective trellis-sculptures, equipped with night-lighting and irrigation, we can ensure their successful maturation while providing artistic placeholders for site visitors until fully established and populated. This timeframe also coincides with PHSCs opening. Its first visitors will be greeted by lush native greenery teeming with caterpillars/cocoons/butterflies.

Sculptures will be installed by local artists/gardeners Dan Tran & Trent Dean. They will source CA Pipevine and other CA native plants with guidance from the UC Davis Arboretum. Meanwhile, Tim Wong, California Academy of Sciences biologist & creator of @CaliforniaPipevineSwallowtail project will continue providing guidance and peer-review to the artists.
",9/15/17,,"Kaleidoscopes successes are incremental.
-Generate social media engagement from art community interest over winter via night-lit sculptures visible from the River Parkway & I-5 freeway.
-Generate interest & participation from environmental justice & scientific communities
-Increase in presence of CA native plants and butterflies/caterpillars/cocoons onsite
-Increase in # of site visitors & their duration of stay
-Host successful onsite PHSC fundraising gala & re-ignite public interest in PHSC
-Increase in issuance of Parks & Rec event space permits
-Decrease in pollution & vandalism along the parkway
-Receive statewide attention as part of @CaliforniaPipevineSwallowtail project
","Sacramento continually demonstrates to the world that as climate change accelerates, ecological literacy and resilience help ensure access to equitable & sustainable economic opportunities. This is also at the heart of PHSC's mission to engage people to explore the possibilities and responsibilities of science. Kaleidoscope also has the potential to turn Matsui Park into a desirable events destination, thusly increasing revenue to Parks & Rec through permit issuances.

We further envision Micro-Kaleidoscope Kits as a top-seller in PHSCs future gift-shop. Visitors can take kits back to their schools and neighborhoods to create butterfly-sanctuaries of their own.
","Kaleidoscope is meant to amplify and diversify PHSCs efforts and outreach toward youth and underserved communities. In the process, it creates a safer and more welcoming place along Riverfront Parkway for all people and wildlife.  Kaleidoscope is also meant to push the conversation on the multi-functionality of art and to encourage more systemic overlaps between art & science now when we need them most in the face of climate change. These cross-pollination attempts are meant to raise broader and more cohesive public awareness around ecosystem thinking, climate resilience and civic participation.


"

the-cypher-finding-your-voice-thru-hip-hop,439,Michael Brim,Microgrant ($5k),"Individual/Sole Proprietor, Other",The Cypher Hip Hop Workshops,The Cypher - Finding Your Voice Thru Hip Hop,"Performing Arts/Music, Underserved Communities, Youth/Education, Cultural Equity","$5,000.00 ","$6,500.00 ",The Cypher gives youth experiencing the difficulties of homelessness an opportunity to find their voice thru Hip Hop Culture.,"The Cypher Hip Hop Workshops (The Cypher) provides after-school and summer programs in the Sacramento City Unified School District, Elk Grove Unified School District, and City of Sacramento - Parks and Recreation. Our target population is youth between the ages of 9 and 18 years of age that are from low socio-economic communities.

The Cypher's focus is to provide opportunities for youth to use Hip Hop as a tool to creatively express themselves, while also learning about the history of Hip Hop Culture . We use multi-media presentations to show examples of how some of the pioneers of the culture used Hip Hop to overcome obstacles, respond to bullying, and fight for social justice. The Cypher has a group of local artists (The Cypher Crew) that teach Breakdancing, Rapping, DJing, and Graffiti Art. Our programs are also project based, with projects that include writing and recording rap songs, mural paintings, dance performances, and DJ performances.

The Cypher is proposing a 12 session workshop at the Mustard Seed School for Homeless Children during the 2017-2018 school year. Each 1 1/2 hour workshop will begin with a brief multi-media presentation (Hip Hop 101) focusing on an artist(s), dancer(s), rapper(s), or DJ(s) that played a significant role in the growth of Hip Hop Culture. After Hip Hop 101, the students will participate in hands on workshops led by The Cypher Crew. The average stay for a student at Mustard Seed is 2 to 3 weeks, so 8 out of the 12 workshops will be stand alone, with 2 workshops focused on rapping, 2 workshops focused breakdancing, 2 workshops focused on Graffiti Art, and 2 workshops focused on DJing. The last 4 workshops will be focused on creating a mural that will be placed on the school grounds. There will also be a Graffiti Art project that will consist of making graffiti style hats with acrylic paint and paint markers. This will take place during one of the Graffiti Art sessions.

",9/22/17,12/15/17,"Succes will be measured by data provided from interviews with students and Mustard Seed staff, as well the completion of the various art projects by the students.","The students will be have opportunities to connect with local artists who will share how they earn full-time or part-time income through teaching, performing, and sharing their art. These interactions will provide examples to the students as to how they can use their artistic talents to pursue a career in the arts.

The Cypher artists will be paid for the sessions they teach, and they will also have the opportunity to connect with the Mustard Seed School administration and teachers about future collaborations.","Hip Hop Culture comes from youth who lived in underserved communities that struggled with issues of gang violence, mental illness, substance abuse, and homelessness. The youth at the Mustard Seed School have faced many of these same struggles. Connecting the stories of the growth of Hip Hop Culture and the struggles it's pioneers overcame to the struggles the Mustard Seed students currently face, provides creative and powerful opportunities for The Cypher to have a social impact on the lives of the students."

kaleidoscope-2,442,Trent Dean,Microgrant ($5k),Individual/Sole Proprietor,,Kaleidoscope (2 of 2),"Public Art/Installations, Youth/Education, Urban Tech, Underserved Communities, Cultural Equity","$4,990.00 ","$9,987.00 ",Kaleidoscope is a Butterfly sanctuary on & sculpture garden at the future @PowerHouseScienceCenter site.,"Kaleidoscope (taken from the collective term for a group of butterflies) is an urban riverfront butterfly sanctuary & sculpture garden. Once ecologically established, Kaleidoscope will join Santa Cruz's Natural Bridges State Park and Pacific Grove's Monarch Grove Sanctuary as a premier wildlife and eco-tourist destination. Moreover, with the countrys largest urban tree canopy, Sacramento has the potential to become the first city-wide butterfly sanctuary in the world.

Currently, Sacramento's Swallowtail butterfly numbers are meager in urban areas where they lack food, shelter and safe passage. Kaleidoscope ultimately aims to recreate the more vital butterfly habitat of Sacramento's waterways with butterfly sanctuary sculpture gardens throughout Sacramento and its underserved communities. The initial riverfront Kaleidoscope creates the necessary butterfly corridor into the city for successful long-term expansion.

While there are several great locations for the initial Kaleidoscope, the intersection of Sacramento River Intake Facility, Matsui Waterfront Park, and the forthcoming PowerHouseScienceCenter (PHSC) is the most civically compelling. Kaleidoscope aims to unify these different landscapes. In doing so it will create a more ecologically valuable and cohesive riverfront parkway experience that better connects OldTown, Discovery Park and future Railyards projects. As butterflies gain access to the city at its source of freshwater and Science Center, Sacramentans and tourists gain access to these monuments to innovation and an up-close kaleidoscopic view of the monumental phenomena of metamorphosis.

